'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0.001 sec','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
0,0.058,-0.510,-0.567,0.226,0.312,-0.538,0.238,0.305,0.630,0.549,0.621,0.560,0.152,-0.720,-0.066
1,0.055,-0.505,-0.560,0.225,0.308,-0.533,0.238,0.299,0.627,0.542,0.616,0.556,0.148,-0.716,-0.065
2,0.051,-0.502,-0.553,0.225,0.302,-0.527,0.237,0.300,0.628,0.542,0.618,0.558,0.149,-0.711,-0.066
3,0.047,-0.506,-0.552,0.229,0.300,-0.529,0.234,0.299,0.626,0.540,0.616,0.557,0.147,-0.708,-0.065
4,0.044,-0.515,-0.558,0.235,0.301,-0.537,0.238,0.297,0.625,0.538,0.612,0.553,0.143,-0.718,-0.066
5,0.052,-0.507,-0.558,0.227,0.305,-0.532,0.236,0.294,0.623,0.534,0.611,0.553,0.143,-0.722,-0.067
6,0.054,-0.494,-0.548,0.220,0.301,-0.521,0.232,0.290,0.619,0.532,0.610,0.549,0.143,-0.704,-0.070
7,0.054,-0.496,-0.549,0.221,0.302,-0.523,0.227,0.284,0.612,0.527,0.609,0.546,0.141,-0.708,-0.068
8,0.053,-0.497,-0.549,0.222,0.301,-0.523,0.227,0.283,0.611,0.529,0.611,0.549,0.144,-0.714,-0.066
9,0.058,-0.495,-0.553,0.218,0.305,-0.524,0.228,0.286,0.615,0.531,0.611,0.549,0.145,-0.706,-0.067
10,0.057,-0.498,-0.554,0.220,0.305,-0.526,0.230,0.287,0.620,0.531,0.611,0.549,0.144,-0.703,-0.068
11,0.054,-0.502,-0.556,0.224,0.305,-0.529,0.234,0.292,0.623,0.535,0.612,0.549,0.144,-0.710,-0.070
12,0.059,-0.504,-0.564,0.222,0.312,-0.534,0.229,0.287,0.618,0.532,0.611,0.550,0.145,-0.713,-0.066
13,0.057,-0.505,-0.561,0.224,0.309,-0.533,0.228,0.286,0.618,0.533,0.612,0.552,0.148,-0.707,-0.066
14,0.053,-0.502,-0.555,0.224,0.304,-0.529,0.228,0.287,0.619,0.532,0.613,0.553,0.153,-0.709,-0.064
15,0.048,-0.503,-0.551,0.227,0.300,-0.527,0.231,0.286,0.615,0.531,0.612,0.554,0.155,-0.718,-0.061
16,0.044,-0.516,-0.560,0.235,0.302,-0.538,0.228,0.287,0.613,0.532,0.610,0.552,0.150,-0.722,-0.061
17,0.043,-0.521,-0.564,0.238,0.303,-0.542,0.227,0.284,0.616,0.533,0.611,0.553,0.147,-0.720,-0.062
18,0.049,-0.515,-0.564,0.233,0.306,-0.539,0.229,0.282,0.614,0.533,0.611,0.554,0.150,-0.720,-0.062
19,0.052,-0.513,-0.565,0.230,0.309,-0.539,0.220,0.280,0.610,0.530,0.611,0.553,0.150,-0.718,-0.059
20,0.048,-0.507,-0.554,0.229,0.301,-0.531,0.224,0.278,0.607,0.527,0.609,0.552,0.148,-0.716,-0.059
21,0.044,-0.502,-0.545,0.228,0.295,-0.524,0.225,0.277,0.605,0.526,0.611,0.553,0.148,-0.712,-0.059
22,0.049,-0.496,-0.545,0.223,0.297,-0.521,0.228,0.279,0.609,0.530,0.614,0.556,0.151,-0.710,-0.060
23,0.056,-0.489,-0.544,0.216,0.300,-0.517,0.233,0.283,0.611,0.532,0.616,0.561,0.154,-0.709,-0.060
24,0.053,-0.500,-0.553,0.223,0.303,-0.526,0.230,0.282,0.613,0.531,0.618,0.562,0.154,-0.713,-0.058
25,0.055,-0.501,-0.556,0.223,0.306,-0.529,0.225,0.279,0.610,0.529,0.616,0.561,0.155,-0.714,-0.058
26,0.057,-0.489,-0.546,0.216,0.301,-0.518,0.222,0.274,0.601,0.523,0.613,0.560,0.159,-0.706,-0.059
27,0.053,-0.491,-0.544,0.218,0.299,-0.518,0.222,0.271,0.600,0.520,0.612,0.558,0.157,-0.710,-0.057
28,0.058,-0.492,-0.549,0.216,0.303,-0.520,0.219,0.271,0.601,0.519,0.613,0.560,0.158,-0.705,-0.059
29,0.067,-0.491,-0.557,0.211,0.312,-0.524,0.218,0.272,0.597,0.521,0.613,0.560,0.161,-0.694,-0.059
30,0.062,-0.496,-0.558,0.216,0.310,-0.527,0.222,0.276,0.601,0.524,0.616,0.559,0.163,-0.707,-0.057
31,0.057,-0.507,-0.564,0.225,0.310,-0.535,0.220,0.272,0.600,0.521,0.616,0.560,0.161,-0.717,-0.056
32,0.054,-0.512,-0.566,0.228,0.310,-0.539,0.220,0.270,0.604,0.525,0.618,0.562,0.162,-0.711,-0.057
33,0.046,-0.506,-0.553,0.229,0.300,-0.530,0.225,0.279,0.606,0.525,0.619,0.563,0.161,-0.711,-0.058
34,0.049,-0.504,-0.552,0.227,0.301,-0.528,0.221,0.276,0.599,0.520,0.614,0.561,0.159,-0.721,-0.055
35,0.040,-0.511,-0.550,0.234,0.295,-0.530,0.223,0.273,0.599,0.520,0.611,0.558,0.155,-0.717,-0.054
36,0.037,-0.518,-0.555,0.240,0.296,-0.537,0.228,0.275,0.600,0.521,0.610,0.555,0.149,-0.715,-0.054
37,0.041,-0.522,-0.562,0.240,0.301,-0.542,0.224,0.273,0.598,0.519,0.609,0.553,0.148,-0.723,-0.055
38,0.037,-0.521,-0.558,0.241,0.298,-0.539,0.224,0.273,0.599,0.520,0.610,0.554,0.150,-0.722,-0.055
39,0.045,-0.512,-0.556,0.233,0.301,-0.534,0.226,0.276,0.600,0.522,0.611,0.554,0.149,-0.719,-0.056
40,0.044,-0.509,-0.552,0.232,0.298,-0.531,0.230,0.275,0.600,0.520,0.609,0.555,0.147,-0.720,-0.057
41,0.045,-0.506,-0.551,0.230,0.298,-0.529,0.224,0.269,0.596,0.517,0.607,0.554,0.149,-0.721,-0.057
42,0.048,-0.501,-0.549,0.227,0.298,-0.525,0.224,0.267,0.593,0.515,0.607,0.555,0.148,-0.710,-0.056
43,0.043,-0.501,-0.544,0.229,0.293,-0.522,0.227,0.268,0.593,0.516,0.609,0.557,0.145,-0.705,-0.055
44,0.043,-0.507,-0.550,0.231,0.297,-0.528,0.224,0.264,0.596,0.516,0.609,0.557,0.144,-0.717,-0.055
45,0.051,-0.504,-0.555,0.226,0.303,-0.530,0.225,0.268,0.598,0.515,0.611,0.560,0.145,-0.715,-0.054
46,0.060,-0.491,-0.551,0.214,0.306,-0.521,0.220,0.266,0.593,0.510,0.609,0.559,0.148,-0.707,-0.054
47,0.059,-0.494,-0.552,0.217,0.305,-0.523,0.219,0.264,0.592,0.510,0.609,0.558,0.148,-0.713,-0.055
48,0.054,-0.495,-0.549,0.220,0.302,-0.522,0.221,0.266,0.595,0.514,0.612,0.562,0.148,-0.713,-0.055
49,0.051,-0.498,-0.548,0.223,0.299,-0.523,0.223,0.264,0.593,0.513,0.613,0.562,0.147,-0.704,-0.055
50,0.045,-0.505,-0.550,0.230,0.298,-0.528,0.224,0.265,0.595,0.515,0.614,0.564,0.146,-0.708,-0.056
51,0.040,-0.513,-0.552,0.235,0.296,-0.532,0.224,0.266,0.596,0.517,0.614,0.565,0.147,-0.717,-0.052
52,0.036,-0.518,-0.553,0.240,0.294,-0.535,0.227,0.267,0.598,0.518,0.615,0.566,0.145,-0.718,-0.053
53,0.041,-0.514,-0.555,0.236,0.298,-0.535,0.226,0.268,0.598,0.518,0.614,0.565,0.144,-0.716,-0.054
54,0.044,-0.512,-0.555,0.234,0.300,-0.533,0.226,0.266,0.596,0.516,0.614,0.564,0.145,-0.717,-0.052
55,0.043,-0.514,-0.555,0.235,0.299,-0.534,0.227,0.266,0.595,0.514,0.612,0.564,0.145,-0.718,-0.053
56,0.043,-0.524,-0.568,0.240,0.305,-0.546,0.226,0.267,0.595,0.513,0.612,0.562,0.145,-0.725,-0.051
57,0.048,-0.523,-0.570,0.237,0.309,-0.546,0.227,0.261,0.598,0.516,0.611,0.560,0.145,-0.727,-0.051
58,0.046,-0.519,-0.565,0.236,0.306,-0.542,0.228,0.266,0.593,0.515,0.610,0.560,0.145,-0.726,-0.051
59,0.040,-0.520,-0.559,0.239,0.300,-0.540,0.225,0.265,0.588,0.512,0.610,0.560,0.145,-0.722,-0.050
60,0.051,-0.511,-0.562,0.229,0.307,-0.536,0.217,0.258,0.589,0.511,0.610,0.558,0.149,-0.719,-0.050
